name,brand,description,image_url
Danoline Tangent T1 Contur (D),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T nascosta,/images/knauf_prodotti/DanolineTangentT1ConturD.webp
Danoline Tangent T1 Corridor,Knauf,Pannello in gesso rivestito per controsoffitto modulare autoportante,/images/knauf_prodotti/DanolineTangentT1Corridor.webp
Danoline Tangent T1 Plaza (A),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T a vista,/images/knauf_prodotti/DanolineTangentT1PlazaA.webp
Danoline Unity 3 Belgravia (E+),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineUnity3BelgraviaE.webp
Danoline Unity 3 Contur (D+),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T nascosta,/images/knauf_prodotti/DanolineUnity3ConturD.webp
Danoline Unity 4 Belgravia (E15),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineUnity4BelgraviaE15.webp
Danoline Unity 4 Contur (D+),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T nascosta,/images/knauf_prodotti/DanolineUnity4ConturD.webp
Danoline Unity 8/15/20 Contur (D+),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T nascosta,/images/knauf_prodotti/DanolineUnity81520ConturD.webp
Danotile Regula (A),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T a vista,/images/knauf_prodotti/DanotileRegulaA.webp
"Fine Thermal Board 6,5+3 mm",Knauf,Lastra accoppiata a spessore ridotto contro la formazione di condense e muffe,/images/knauf_prodotti/FineThermalBoard653mm.webp
"Fine Thermal Board 6,5+6 mm",Knauf,Lastra accoppiata a spessore ridotto contro la formazione di condense e muffe,/images/knauf_prodotti/FineThermalBoard656mm.webp
"Fine Thermal Board 6,5+9 mm",Knauf,Lastra accoppiata a spessore ridotto contro la formazione di condense e muffe,/images/knauf_prodotti/FineThermalBoard659mm.webp
"Flexilastra 6,5 mm",Knauf,"Lastra in gesso rivestito a spessore ridotto, altamente flessibile per sistemi curvi",/images/knauf_prodotti/Flexilastra65mm.webp
Ignilastra GKF (DF) 15 mm,Knauf,Lastra in gesso rivestito con fibre minerali per sistemi resistenti al fuoco,/images/knauf_prodotti/IgnilastraGKFDF15mm.webp
Ignilastra GKF (DF) 25 mm,Knauf,Lastra in gesso rivestito con fibre minerali per sistemi resistenti al fuoco,/images/knauf_prodotti/IgnilastraGKFDF25mm.webp
Isolastra Advanced LM 85,Knauf,Lastra GKB Advanced accoppiata a pannello isolante in lana minerale (LM) per isolamento termoacustico,/images/knauf_prodotti/IsolastraAdvancedLM85.webp
Isolastra Advanced PSE-B,Knauf,Lastra GKB Advanced accoppiata a pannello isolante in polistirolo espanso bianco (PSE-B) per isolamento termico,/images/knauf_prodotti/IsolastraAdvancedPSE-B.webp
Isolastra Advanced PU,Knauf,Lastra GKB Advanced accoppiata a pannello isolante in poliuretano espanso (PU) per isolamento termico,/images/knauf_prodotti/IsolastraAdvancedPU.webp
Isolastra Advanced XPS,Knauf,Lastra GKB Advanced accoppiata a pannello isolante in polistirene estruso (XPS) per isolamento termico,/images/knauf_prodotti/IsolastraAdvancedXPS.webp
"Lastra A-Zero 12,5 mm",Knauf,"Lastra in gesso rivestito standard, in classe di reazione al fuoco A1",/images/knauf_prodotti/LastraA-Zero125mm.webp
Lastra Brio 18 mm,Knauf,Lastra in gessofibra per sottofondi a secco,/images/knauf_prodotti/LastraBrio18mm.webp
Lastra Brio 23 mm,Knauf,Lastra in gessofibra per sottofondi a secco,/images/knauf_prodotti/LastraBrio23mm.webp
Lastra Cleaneo Thermoboard Forata 10 mm,Knauf,Lastra in gesso rivestito per controsoffitti radianti forata,/images/knauf_prodotti/LastraCleaneoThermoboardForata10mm.webp
Lastra Cleaneo Thermoboard Plus Forata 10 mm,Knauf,Lastra in gesso rivestito per controsoffitti radianti additivata con grafite forata,/images/knauf_prodotti/LastraCleaneoThermoboardPlusForata10mm.webp
Lastra Diamant Phono 23 mm,Knauf,Lastra Diamant accoppiata a pannello isolante in fibra di poliestere (FPE) per isolamento acustico,/images/knauf_prodotti/LastraDiamantPhono23mm.webp
Lastra Diamant Phono 33 mm,Knauf,Lastra Diamant accoppiata a pannello isolante in fibra di poliestere (FPE) per isolamento acustico,/images/knauf_prodotti/LastraDiamantPhono33mm.webp
"Lastra Diamant X 12,5 mm",Knauf,Lastra in gesso rivestito con fibre minerali per altissima resistenza meccanica utilizzabile come controvento in pareti intelaiate di legno,/images/knauf_prodotti/LastraDiamantX125mm.webp
"Lastra F-Zero 12,5 mm",Knauf,"Lastra in gesso rivestito con fibre minerali per sistemi resistenti al fuoco, in classe di reazione al fuoco A1",/images/knauf_prodotti/LastraF-Zero125mm.webp
Lastra F-Zero 15 mm,Knauf,"Lastra in gesso rivestito con fibre minerali per sistemi resistenti al fuoco, in classe di reazione al fuoco A1",/images/knauf_prodotti/LastraF-Zero15mm.webp
"Lastra Fireboard 12,5 mm",Knauf,Lastra antifuoco in gesso rinforzato con fibre di vetro,/images/knauf_prodotti/LastraFireboard125mm.webp
Lastra Fireboard 15 mm,Knauf,Lastra antifuoco in gesso rinforzato con fibre di vetro,/images/knauf_prodotti/LastraFireboard15mm.webp
Lastra Fireboard 20 mm,Knauf,Lastra antifuoco in gesso rinforzato con fibre di vetro,/images/knauf_prodotti/LastraFireboard20mm.webp
Lastra Fireboard 30 mm,Knauf,Lastra antifuoco in gesso rinforzato con fibre di vetro,/images/knauf_prodotti/LastraFireboard30mm.webp
Lastra Forata Cleaneo 10/23R UFF,Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneo1023RUFF.webp
Lastra Forata Cleaneo 12/25Q UFF,Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneo1225QUFF.webp
Lastra Forata Cleaneo 12/25R UFF,Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneo1225RUFF.webp
Lastra Forata Cleaneo 6/18R UFF,Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneo618RUFF.webp
Lastra Forata Cleaneo 8/15/20R 4SK,Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneo81520R4SK.webp
Lastra Forata Cleaneo 8/18Q UFF,Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneo818QUFF.webp
Lastra Forata Cleaneo 8/18R UFF,Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneo818RUFF.webp
"Lastra Forata Cleaneo SK 10/23 R 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK1023R125.webp
"Lastra Forata Cleaneo SK 12/20/35 R 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK122035R125.webp
"Lastra Forata Cleaneo SK 12/20/66 R 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK122066R125.webp
"Lastra Forata Cleaneo SK 12/25 Q 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK1225Q125.webp
"Lastra Forata Cleaneo SK 12/25 R 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK1225R125.webp
"Lastra Forata Cleaneo SK 15/30 R 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK1530R125.webp
"Lastra Forata Cleaneo SK 6/18 R 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK618R125.webp
"Lastra Forata Cleaneo SK 8/12/50 R 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK81250R125.webp
"Lastra Forata Cleaneo SK 8/18 Q 12,5",Knauf,Lastra in gesso rivestito forata ad azione fonoassorbente con effetto di depurazione dell’aria,/images/knauf_prodotti/LastraForataCleaneoSK818Q125.webp
