name,description,category,image_url
Pegasus,"Pale Multiuso in polipropilene
",Pale da Neve,/images/mass_prodotti/Pegasus.webp
Atossica alimenti,"Pale Multiuso in polipropilene
",Pale da Neve,/images/mass_prodotti/Atossicaalimenti.webp
Stark PP,"Pale Multiuso in polipropilene
",Pale da Neve,/images/mass_prodotti/StarkPP.webp
Bulldozer,"Pale Multiuso in polipropilene
",Pale da Neve,/images/mass_prodotti/Bulldozer.webp
Rettangolari,"Pale Multiuso in polipropilene
",Pale da Neve,/images/mass_prodotti/Rettangolari.webp
Cucchiaio,"Pale Multiuso in polipropilene
",Pale da Neve,/images/mass_prodotti/Cucchiaio.webp
Black Jack,"Spingineve
",Pale da Neve,/images/mass_prodotti/BlackJack.webp
Spingineve fisso,"Spingineve
",Pale da Neve,/images/mass_prodotti/Spinginevefisso.webp
Pale slitta,"Spingineve
",Pale da Neve,/images/mass_prodotti/Paleslitta.webp
Piccola Ketty,Pale auto,Pale da Neve,/images/mass_prodotti/PiccolaKetty.webp
Kit auto,Pale auto,Pale da Neve,/images/mass_prodotti/Kitauto.webp
Queen Mass,"Vanghe
",Giardinaggio,/images/mass_prodotti/QueenMass.webp
Kaimass,"Vanghe
",Giardinaggio,/images/mass_prodotti/Kaimass.webp
Fortmass,"Vanghe
",Giardinaggio,/images/mass_prodotti/Fortmass.webp
Forgiate Mass,"Vanghe
",Giardinaggio,/images/mass_prodotti/ForgiateMass.webp
Tirafili Mass,Tirafili,Giardinaggio,/images/mass_prodotti/TirafiliMass.webp
Tirafili Standard,Tirafili,Giardinaggio,/images/mass_prodotti/TirafiliStandard.webp
Forche cavalli,Rastrelli,Giardinaggio,/images/mass_prodotti/Forchecavalli.webp
Scopa Foglie,Rastrelli,Giardinaggio,/images/mass_prodotti/ScopaFoglie.webp
Rastrelli,Rastrelli,Giardinaggio,/images/mass_prodotti/Rastrelli.webp
Mazze scuri,Taglio legna,Giardinaggio,/images/mass_prodotti/Mazzescuri.webp
Scuri,Taglio legna,Giardinaggio,/images/mass_prodotti/Scuri.webp
Cunei spaccalegna,Taglio legna,Giardinaggio,/images/mass_prodotti/Cuneispaccalegna.webp
,,,
