name,name,descrizione,image_url
KIUB KSP60,KIUB KSP60,STRUTTURA 60 + COMPOSIZIONE PIANI / sospesa o a terra,/images/hidra_prodotti/KIUBKSP60.webp
KIUB KSC60,KIUB KSC60,STRUTTURA 60 + COMPOSIZIONE 1 CASSETTO / sospesa o a terra,/images/hidra_prodotti/KIUBKSC60.webp
KIUB KSCP80,KIUB KSCP80,KSCP80 STRUTTURA 80 + COMPOSIZIONE 1 CASSETTO + PIANO / sospesa o a terra,/images/hidra_prodotti/KIUBKSCP80.webp
KIUB KSG60,KIUB KSG60,KSG60 - STRUTTURA 50 O 60 COMPOSIZIONE CON GRIGLIA / sospesa o a terra,/images/hidra_prodotti/KIUBKSG60.webp
KIUB KSCG80,KIUB KSCG80,KSCG80 - STRUTTURA 80 CON COMPOSIZIONE UN CASSETTO E GRIGLIA / sospesa o a terra,/images/hidra_prodotti/KIUBKSCG80.webp
KIUB KSP80,KIUB KSP80,KSP80 - STRUTTURA 80 CON COMPOSIZIONE PIANI / sospesa o a terra,/images/hidra_prodotti/KIUBKSP80.webp
KIUB KSCG100,KIUB KSCG100,KSCG100 - STRUTTURA 100 CON COMPOSIZIONE UN CASSETTO E GRIGLIA / sospesa o a terra,/images/hidra_prodotti/KIUBKSCG100.webp
KIUB KSCP100,KIUB KSCP100,KSCP100 - STRUTTURA 100 CON COMPOSIZIONE CASSETTO PIù PIANO / sospesa o a terra,/images/hidra_prodotti/KIUBKSCP100.webp
KIUB KSP100,KIUB KSP100,KSP100 - STRUTTURA 100 CON COMPOSIZIONE CON PIANI / sospesa o a terra,/images/hidra_prodotti/KIUBKSP100.webp
KIUB KS2C120,KIUB KS2C120,KS2C120 - STRUTTURA 120 CON 2 CASSETTI / sospesa o a terra,/images/hidra_prodotti/KIUBKS2C120.webp
KIUB KSCP120,KIUB KSCP120,KSCP120 - STRUTTURA 120 CON COMPOSIZIONE UN CASSETTO E PIANI / sospesa o a terra,/images/hidra_prodotti/KIUBKSCP120.webp
KIUB KSCG120,KIUB KSCG120,KSCG120 - STRUTTURA 120 COMPOSIZIONE CASSETTO PIù GRIGLIA / sospesa o a terra,/images/hidra_prodotti/KIUBKSCG120.webp
SPHERE KMPSD,SPHERE KMPSD,PIANO DOPPIO SLIM PER LAVABI,/images/hidra_prodotti/SPHEREKMPSD.webp
SPHERE PS80,SPHERE PS80,PIANO SLIM PER LAVADI 80X46 dx/sx,/images/hidra_prodotti/SPHEREPS80.webp
SPHERE SP16,SPHERE SP16,COLONNA PER LAVABO SPHERE E KOMFORT,/images/hidra_prodotti/SPHERESP16.webp
ONE SHOT W3,ONE SHOT W3,STRUTTURA METALLICA PER LAVABO WIRE,/images/hidra_prodotti/ONESHOTW3.webp
ONE SHOT HU3+HUP,ONE SHOT HU3+HUP,STRUTTURA METALLICA CON PIANO PER LAVABO,/images/hidra_prodotti/ONESHOTHU3HUP.webp
KOMFORT KMV60,KOMFORT KMV60,VASCA IN ACRILICO,/images/hidra_prodotti/KOMFORTKMV60.webp
FASTER FV61,FASTER FV61,VASCA FASTER IN SOLID SURFACE,/images/hidra_prodotti/FASTERFV61.webp
KIUB KV60,KIUB KV60,VASCA KIUB IN ACRILICO,/images/hidra_prodotti/KIUBKV60.webp
KIUB KV61,KIUB KV61,VASCA KIUB IN SOLID SURFACE,/images/hidra_prodotti/KIUBKV61.webp
GIÒ EVOLUTION GV60,GIÒ EVOLUTION GV60,VASCA IN ACRILICO,/images/hidra_prodotti/GIÒEVOLUTIONGV60.webp
GIÒ EVOLUTION GV61,GIÒ EVOLUTION GV61,VASCA IN SOLID SURFACE,/images/hidra_prodotti/GIÒEVOLUTIONGV61.webp
ELLADE Vasca Ellade,ELLADE Vasca Ellade,Vasca in vetroresina Ellade,/images/hidra_prodotti/ELLADEVascaEllade.webp
ONE SHOT DR01,ONE SHOT DR01,Orinatoio Drop,/images/hidra_prodotti/ONESHOTDR01.webp
