name,brand,descrizione,categoria,image_url
RST4-0,ryobi, ,elettroutensili,/images/ryobi_prodotti/RST4-0.webp
Utensile Rotativo 150W con 115 Accessori,ryobi,Potente motore 150W Velocita' variabile per molteplici applicazioni Pinza per il cambio rapido degli accessori Indicatore presenza tensione Livetool Indicator™,elettroutensili,/images/ryobi_prodotti/UtensileRotativo150Wcon115Accessori.webp
Stereo con Bluetooth® 18V,ryobi,2 altoparlanti di alta qualità da 7W per un suono pulito ad ogni volume Tecnologia Wireless con Bluetooth® integrato per ascoltare musica fino ad una distanza di 10 metri Radio digitale con la possibilità di memorizzare 10 stazioni FM e 10 AM,elettroutensili,/images/ryobi_prodotti/StereoconBluetooth18V.webp
Seghetto alternativo pendolare a 4 posizioni 680W,ryobi,Speciale guida di taglio retrattile che assicura un taglio dritto e semplice FLUSH CUT: permette il taglio a filo della scarpa per una massima precision Massima visibiltà Variatore elettronico di velocità,elettroutensili,/images/ryobi_prodotti/Seghettoalternativopendolarea4posizioni680W.webp
Avvitatore 4V Litio,ryobi,"Mandrino esagonale 1/4"" magnetico Coppia max 5 Nm Autonomia fino a 92 avvitature Luce LED Super Brillante",elettroutensili,/images/ryobi_prodotti/Avvitatore4VLitio.webp
Seghetto alternativo pendolare a 4 posizioni 600W,ryobi,"Massima visibilta' e nuovo sistema di soffiaggio per la pulizia dell’area di taglio: l’aria fuoriesce con un movimento circolare Movimento pendolare a 4 posizioni, massima precisione grazie alla guida di taglio integrata Sistema di sostituzione rapida della lama e di sicuro serraggio SURELOCK",elettroutensili,/images/ryobi_prodotti/Seghettoalternativopendolarea4posizioni600W.webp
Levigatrice palmare 80W,ryobi,Ideale per piccole applicazioni Compatto motore 80W Prolunga integrata per raggiungere i punti più difficili Design triangolare della piastra per levigare negli angoli,elettroutensili,/images/ryobi_prodotti/Levigatricepalmare80W.webp
Seghetto alternativo 500W,ryobi,"Nuovo design super compatto ed alta precisione di taglio Massima precisione grazie alla guida di taglio integrata Potente motore 500W, velocità a vuoto 0-3000 corse/min Massima visibiltà e nuovo sistema di soffiaggio per la pulizia dell’area di taglio: l’aria fuoriesce con un movimento circolare",elettroutensili,/images/ryobi_prodotti/Seghettoalternativo500W.webp
Levigatrice multiuso 180W,ryobi,"Ideale per piccole e medie applicazioni 3 platorelli (delta, 1/3 foglio & prolunga) Potente motore 180W Velocità variabile (6,000-12,000 rpm)",elettroutensili,/images/ryobi_prodotti/Levigatricemultiuso180W.webp
Seghetto alternativo 500W,ryobi,"Nuovo design super compatto ed alta precisione di taglio Massima precisione grazie alla guida di taglio integrata Potente motore 500W, velocita' a vuoto 0-3000 corse/min Massima visibilta' e nuovo sistema di soffio per la pulizia dell’area di taglio: l’aria fuoriesce con un movimento circolare",elettroutensili,/images/ryobi_prodotti/Seghettoalternativo500W.webp
Seghetto alternativo 18V Brushless,ryobi,"Potente seghetto alternativo brushless ideale per tagli complessi in legno, plastica e metallo Base in alluminio per una maggiore stabilità e durata nel tempo Controllo della velocità facilitato per poter effettuare diverse lavorazioni",elettroutensili,/images/ryobi_prodotti/Seghettoalternativo18VBrushless.webp
Lucidatrice 18V,ryobi,"Potente lucidatrice, ideale per la rimozione di graffi e segni sulla tua auto Velocità variabile 3.000 - 7.500 g/min, a seconda dell'applicazione L'oscillazione a doppia azione protegge la vernice da segni di lavorazione Pomello frontale per un facile controllo e un miglior comfort durante l'utilizzo",elettroutensili,/images/ryobi_prodotti/Lucidatrice18V.webp
Sega Diritta Brushless 18V,ryobi,"Il potente motore brushless offre una corsa della lama di 30 mm, ideale per tagliare un'ampia varietà di materiali con estrema facilità La funzione orbitale aumenta la velocità di taglio fino al 40% rispetto alle seghe diritte senza questa funzione LED integrato per illuminare l'area di lavoro",elettroutensili,/images/ryobi_prodotti/SegaDirittaBrushless18V.webp
Levigatrice / Lucidatrice Compatta 18V,ryobi,"2-in-1: lucidatrice / levigatrice versatile per rimuovere graffi, segni e imperfezioni sulla carrozzeria Interruttore a due velocità ottimizzato per facilitare le lavorazioni di levigatura e lucidatura Impugnatura ausiliaria per il massimo controllo e maneggevolezza",elettroutensili,/images/ryobi_prodotti/LevigatriceLucidatriceCompatta18V.webp
Levigatrice rotorbitale ⌀ 125 mm 18V,ryobi,"Ideale per leggere/medie applicazioni e di finitura Diametro orbita 2.5mm Movimento rotorbitale per una finitura perfetta Sistema di estrazione polvere integrato, per un'area di lavoro pulita durante l'utilizzo",elettroutensili,/images/ryobi_prodotti/Levigatricerotorbitale125mm18V.webp
Lucidatrice 250 mm 18V,ryobi,"Ideale per la pulitura e lucidatura di automobili Utilizzabile anche su barche, motociclette, pavimentazioni e mobili. Movimento oscillatorio dell'orbita Potente motore che fornisce fino a 3.600 orbite/min per un uso prolungato",elettroutensili,/images/ryobi_prodotti/Lucidatrice250mm18V.webp
Pistola colla a caldo 18V con doppia temperatura,ryobi,"Ideale per differenti tipologie di materiali come carta, cartone, tessuto, pelle, plastica, legno, metallo, ... Doppia temperature: 200°C ideale per applicazioni di fissaggio durature e 130°C ideale quando si deve applicare la colla su materiali sensibili al calore (es. pelle o tessuto)",elettroutensili,/images/ryobi_prodotti/Pistolacollaacaldo18Vcondoppiatemperatura.webp
RPD18BL1-0,ryobi,"Trapano a percussione ONE+ Compact Brushless, ideale per forare il legno o il metallo, avvitare viti o persino forare la muratura grazie alla funzione martello Mandrino autoserrante da 13 mm per una maggiore forza di presa dei bit e una maggiore durata. Il motore Brushless gira più velocemente fornendo maggiore potenza e la nostra elettronica avanzata massimizza l'autonomia",elettroutensili,/images/ryobi_prodotti/RPD18BL1-0.webp
