name,brand,description,product_page_url,image_url
MOLE VETRIFICATE CORINDONE GRIGIO (OSSIDO ALLUMINIO),maurer,per lavorazioni generiche a mano,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0902/desc/,/images/maurer_prodotti/MOLEVETRIFICATECORINDONEGRIGIOOSSIDOALLUMINIO.webp
MOLE VETRIFICATE CARBURO DI SILICIO,maurer,per affilatura utensili in carburi metallici,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0903/desc/,/images/maurer_prodotti/MOLEVETRIFICATECARBURODISILICIO.webp
DISCHI ABRASIVI FLESSIBILI - CORINDONE,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0912/desc/,/images/maurer_prodotti/DISCHIABRASIVIFLESSIBILI-CORINDONE.webp
PLATORELLI PLASTICA (PPL) - PER SMERIGLIATRICI,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0913/desc/,/images/maurer_prodotti/PLATORELLIPLASTICAPPL-PERSMERIGLIATRICI.webp
PLATORELLO GOMMA - CON GAMBO E FLANGE,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1626/desc/,/images/maurer_prodotti/PLATORELLOGOMMA-CONGAMBOEFLANGE.webp
DISCHI ABRASIVI LAMELLARI FLESSIBILI - OSSIDO DI ALLUMINIO,maurer,ossido di alluminio (corindone) supporto plastica,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0910/desc/,/images/maurer_prodotti/DISCHIABRASIVILAMELLARIFLESSIBILI-OSSIDODIALLUMINIO.webp
DISCHI ABRASIVI LAMELLARI FLESSIBILI - OSSIDO DI ZIRCONIO,maurer,ossido di zirconio supporto plastica,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0911/desc/,/images/maurer_prodotti/DISCHIABRASIVILAMELLARIFLESSIBILI-OSSIDODIZIRCONIO.webp
CARTA ABRASIVA SPAZIATA - CORINDONE ROSSO,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0917/desc/,/images/maurer_prodotti/CARTAABRASIVASPAZIATA-CORINDONEROSSO.webp
CARTA ABRASIVA SPAZIATA - CORINDONE ROSSO - MINI ROTOLI,maurer,mini rotoli,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0918/desc/,/images/maurer_prodotti/CARTAABRASIVASPAZIATA-CORINDONEROSSO-MINIROTOLI.webp
CARTA ABRASIVA RESINATA - CORINDONE,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0916/desc/,/images/maurer_prodotti/CARTAABRASIVARESINATA-CORINDONE.webp
