name,brand,description,price,image_url
Webertec presarapida legante rapido grigio sacco kg 5,Weber,Legante rapido pronto all'uso. antifessurazione presa rapida rapida messa in esercizio resistente all’esterno antiritiro adatto ai fissaggi difficili  non cola ottima lavorabilità,N/A,/images/weber_prodotti/Webertecpresarapidaleganterapidogrigiosaccokg5.webp
Webertec mandrino  dm 10 mm per elicafix,Weber,"Mandrino con attacco sds per trapano, necessario all’installazione a secco delle barre elicoidali webertec elicafix A dm 10 mm.",N/A,/images/weber_prodotti/Webertecmandrinodm10mmperelicafix.webp
Webertec fer boiacca protettiva rosso sacco kg 2,Weber,Boiacca protettiva per cls e ferri d'armatura,N/A,/images/weber_prodotti/Webertecferboiaccaprotettivarossosaccokg2.webp
Webertec fer boiacca protettiva rosso sacco kg 5,Weber,Boiacca protettiva per cls e ferri d'armatura,N/A,/images/weber_prodotti/Webertecferboiaccaprotettivarossosaccokg5.webp
Webertec consolida35 betoncino grigio sacco kg 25,Weber,"Betoncino fibrato per applicazione meccanizzata, per interventi di consolidamento strutturale con la tecnica del placcaggio armato.antifessurazione pronto all'uso alta adesione",N/A,/images/weber_prodotti/Webertecconsolida35betoncinogrigiosaccokg25.webp
Webertec connettore vr20 in vetro-resina bianco,Weber,"Connettore in vetro-resina (gfrp) ad aderenza migliorata tramite lo spolvero di sabbia di quarzo. forma ad ""l"" di dimensione 10x20cm da inghisare con webertec ancorantev in vinilestere.",N/A,/images/weber_prodotti/Webertecconnettorevr20invetro-resinabianco.webp
Webertec clsfluido malta superfluida grigio sacco kg 25,Weber,Malta superfluida colabile antiritiro per il ripristino strutturale del calcestruzzo ed inghisaggio. alti spessori alta resistenza meccanica rapida messa in esercizio,N/A,/images/weber_prodotti/Webertecclsfluidomaltasuperfluidagrigiosaccokg25.webp
Webertec ancorante v  cartuccia 400 ml,Weber,"Ancorant in vinilestere senza stirene, prestazione sismica c1-c2, per l'ancoraggio di connettori nei sistemi di consolidamento webertec crm certificati cvt.",N/A,/images/weber_prodotti/Webertecancorantevcartuccia400ml.webp
Webersan thermo evoluzione intonaco macroporoso bianco sacco kg 15,Weber,"Intonaco macroporoso alleggerito e fibrato, monoprodotto calce-cemento per il risanamento e l'isolamento termico di murature saline soggette ad umidità di risalita",N/A,/images/weber_prodotti/Webersanthermoevoluzioneintonacomacroporosobiancosaccokg15.webp
Webersan evofinitura minerale per intonaci deumidificanti bianco sacco kg 25,Weber,"Finitura minerale per intonaci deumidifcanti ad elevata traspirabilità, da utilizzare come rasante per intonaci deumidificazione per muratura affetta da umidità di risalita",N/A,/images/weber_prodotti/Webersanevofinituramineraleperintonacideumidificantibiancosaccokg25.webp
Weberprim rc14 aggrappante incolore tanica lt 5,Weber,Fondo di preparazione per per pitture e rivestimenti colorati in pasta delle gamme webercote siloxcover/webercote acsilcover a base acqua,N/A,/images/weber_prodotti/Weberprimrc14aggrappanteincoloretanicalt5.webp
Weberprim ra13 aggrappante incolore secchio lt 5,Weber,"Preparatore di sottofondo a base acqua per pitture e rivestimenti colorati al quarzo ed elastomerici da esterno delle gamma acrylcover e flexcover, per idropitture da interno",N/A,/images/weber_prodotti/Weberprimra13aggrappanteincoloresecchiolt5.webp
Weberprim ra13 aggrappante incolore secchio lt 15,Weber,"Preparatore di sottofondo a base acqua per pitture e rivestimenti colorati al quarzo ed elastomerici da esterno delle gamma acrylcover e flexcover, per idropitture da interno",N/A,/images/weber_prodotti/Weberprimra13aggrappanteincoloresecchiolt15.webp
Weberprim pf15 amianto  tanica kg 20,Weber,"Incapsulante di tipo d per rimozione del cemento-amianto, ausiliario nelle opere di rimozione.",N/A,/images/weber_prodotti/Weberprimpf15amiantotanicakg20.webp
Weberprim pf15  tanica lt 5,Weber,Primer isolante e consolidante in dispersione acquosa a forte penetrazione per l'isolamento di superfici in gesso e anidrite prima della posa di prodotti a base cementizia,N/A,/images/weber_prodotti/Weberprimpf15tanicalt5.webp
Weberprim pf15  tanica lt 20,Weber,Primer isolante e consolidante in dispersione acquosa a forte penetrazione per l'isolamento di superfici in gesso e anidrite prima della posa di prodotti a base cementizia,N/A,/images/weber_prodotti/Weberprimpf15tanicalt20.webp
"Weberprim fondo granello 0,5 bianco secchio lt 14",Weber,Fondo uniformante riempitivo per interni ed esterni ad effetto civile. a base acqua pitturabile.,N/A,/images/weber_prodotti/Weberprimfondogranello05biancosecchiolt14.webp
"Weberprim fondo granello 0,3 bianco secchio lt 5",Weber,Fondo uniformante riempitivo per interni ed esterni ad effetto civile. a base acqua pitturabile.,N/A,/images/weber_prodotti/Weberprimfondogranello03biancosecchiolt5.webp
Weberprim cl10 aggrappante giallo secchio kg 5,Weber,Promotore di adesione a base di resine in dispersione acquosa,N/A,/images/weber_prodotti/Weberprimcl10aggrappantegiallosecchiokg5.webp
Weberplan mr81 massetto pronto  sacco kg 25,Weber,"Massetto pronto ad essiccazione medio-rapida idoneo per ricevere qualsiasi tipologia di ceramica, marmo e legno. monocomponente, pedonabile, resistente agli urti",N/A,/images/weber_prodotti/Weberplanmr81massettoprontosaccokg25.webp
Weberfloor planitec livellante cementizio  sacco 25 kg a presa rapida,Weber,"Livellante cementizio a presa rapida per la rasatura ad altissima resistenza di pavimentazioni e pareti in interno ed esterno. carrabile, adesione anche a basso spessore",N/A,/images/weber_prodotti/Weberfloorplaniteclivellantecementiziosacco25kgapresarapida.webp
Weberfloor level 250 massetto fluido  sacco kg 25,Weber,"Massetto fluido autolivellante a base anidrite, per interni, da 5 a 50 mm ritiro quasi nullo, per applicazioni in interno in ambito residenziale e commerciale leggero",N/A,/images/weber_prodotti/Weberfloorlevel250massettofluidosaccokg25.webp
Weberfloor al autolivellante  sacco kg 25,Weber,Autolivellante per pavimenti interni ed esterni a finitura liscia per il livellamento di spessori da 1-10 mm.  ritiro compensato monocomponente rapida messa in esercizio,N/A,/images/weber_prodotti/Weberflooralautolivellantesaccokg25.webp
Weberfloor 4716 primer acrilico  tanica lt 5,Weber,Primer acrilico in dispersione acquosa per uniformare l'assorbimento di sottofondi porosi prima di applicare l’ autolivellante.non contiene ammoniaca.primer polivalente,N/A,/images/weber_prodotti/Weberfloor4716primeracrilicotanicalt5.webp
Weberfloor 4150 autolivellante  sacco kg 25,Weber,Autolivellante rapido per interni da 1 a 30 mm ad elevata fluidità adesione al supporto. può essere applicato anche su sistemi radianti a basso spessore a pavimento,N/A,/images/weber_prodotti/Weberfloor4150autolivellantesaccokg25.webp
Weberdry pur seal membrana liquida grigio secchio kg 6,Weber,"Membrana liquida poliuretanica mperemabilizzante monocomponente ad applicazione a freddo, elevate prestazioni, resistente ai raggi uv, super elastica, autolivellante, pedonabile",N/A,/images/weber_prodotti/Weberdrypursealmembranaliquidagrigiosecchiokg6.webp
Weberdry pur finish  secchio kg 1,Weber,"Finitura opacizzante poliuretanico opacizzante per la membrana impermeabilizzante trasparente weberdry pur trans.alifatico, monocomponente,applicazione liquida, elastico e resistente",N/A,/images/weber_prodotti/Weberdrypurfinishsecchiokg1.webp
Weberdry pronto24 guaina impermeabilizzante grigio secchio kg 5,Weber,"Guaina impermeabilizzante colorata pronta all'uso. idoneo all'incapsulamento del cemento-amianto di tipo a . resistente ai raggi uv, monocomponente, resiste alla pressione in spinta",N/A,/images/weber_prodotti/Weberdrypronto24guainaimpermeabilizzantegrigiosecchiokg5.webp
Weberdry osmo clsg malta impermeabilizzante grigio sacco kg 25,Weber,"Malta impermeabilizzante osmotica a basso spessore. resistente alle acque aggressive, idoneo al contatto con acqua potabile. resiste alla spinta e controspinta",N/A,/images/weber_prodotti/Weberdryosmoclsgmaltaimpermeabilizzantegrigiosaccokg25.webp
Weberdry osmo clsb malta impermeabilizzante bianco sacco kg 25,Weber,Malta impermeabilizzante osmotica a basso spessore. impermeabilizzante idoneo al contatto con acqua potabile. resiste alla spinta e controspinta e acque aggressive.,N/A,/images/weber_prodotti/Weberdryosmoclsbmaltaimpermeabilizzantebiancosaccokg25.webp
Weberdry osmo malta impermeabilizzante grigio sacco kg 25,Weber,"Malta per impermeabilizzazione e regolarizzazione osmotica a spessore, antiaggressiva. imperemabilizzante idoneo al contatto con acqua potabile. resiste alla spinta e controspinta",N/A,/images/weber_prodotti/Weberdryosmomaltaimpermeabilizzantegrigiosaccokg25.webp
Weberdry fabric 65 tessuto di rinforzo bandella larg. cm. 20 - lunghezza a taglio,Weber,Bandella tessuto non tessuto in poliestere di rinforzo membrane impermeabilizzanti poliuretaniche della linea weberdry pur. Larghezza cm. 20 - lunghezza a taglio,N/A,/images/weber_prodotti/Weberdryfabric65tessutodirinforzobandellalargcm20-lunghezzaataglio.webp
Weberdry elasto1 top guaina impermeabilizzante beige sacco kg 5,Weber,"Guaina impermeabilizzante elasto-cementizia monocomponente versatile, fibrata, di facile applicazione",N/A,/images/weber_prodotti/Weberdryelasto1topguainaimpermeabilizzantebeigesaccokg5.webp
Weberdry elasto1 top guaina impermeabilizzante beige sacco kg 20,Weber,"Guaina impermeabilizzante elasto-cementizia monocomponente versatile, fibrata, di facile applicazione. resistente ai raggi uv,resistente alla pressione in controspinta e spinta",N/A,/images/weber_prodotti/Weberdryelasto1topguainaimpermeabilizzantebeigesaccokg20.webp
"Weberdry elasto-band  rotolo 50mt (h=0,12m)",Weber,Banda in tessuto tnt e gomma di polipropilene compatibile con guiane impermeabilizzanti elasto-cementizie della linea weberdry e impermeabilizzanti liquidi della linea weberdry pronto,N/A,/images/weber_prodotti/Weberdryelasto-bandrotolo50mth012m.webp
Weberdry drain hole scarico verticale tondo venduto cadauno,Weber,Scarico verticale con tessuto impermeabile in tnt pressofuso con flangia per prodotti impermeabilizzanti elasto-cementizie della linea weberdry e liquidi della linea weberdry pronto,N/A,/images/weber_prodotti/Weberdrydrainholescaricoverticaletondovendutocadauno.webp
Weberdry drain corner scarico orizzontale quadro cm. 5x5 - venduto cadauno,Weber,Scarico verticale con tessuto impermeabile in tnt pressofuso con flangia per prodotti impermeabilizzanti elasto-cementizie della linea weberdry e liquidi della linea weberdry pronto,N/A,/images/weber_prodotti/Weberdrydraincornerscaricoorizzontalequadrocm5x5-vendutocadauno.webp
Weberdry bloc cemento impermeabilizzante  sacco kg 5,Weber,"Cemento impermeabilizzante istantaneo per l'impermeabilizzazione immediata di infiltrazioni a pavimento, parete, soffitto all'intenro e all'esterno",N/A,/images/weber_prodotti/Weberdrybloccementoimpermeabilizzantesaccokg5.webp
Webercol ultragres flex adesivo cementizio bianco sacco kg 20 C2TES2,Weber,"Adesivo cementizio a flessibilità superiore, resistenza all'immersione, meccanica grandi formati, in sovrapposizione su vecchi pavimenti in ceramica e incollare anche sui sistemi a cappotto. C2TES2",N/A,/images/weber_prodotti/Webercolultragresflexadesivocementiziobiancosaccokg20C2TES2.webp
Webercol ultragres 400 adesivo cementizio bianco sacco kg 25 C2TES1,Weber,"Adesivo cementizio ad alta deformabilità ed elevata capacità bagnante, per grandi formati, in sovrapposizione, radianti, in facciata, in piscina, e mosaico vetroso. C2TES1",N/A,/images/weber_prodotti/Webercolultragres400adesivocementiziobiancosaccokg25C2TES1.webp
Webercol ultragres 400 adesivo cementizio grigio sacco kg 25 C2TES1,Weber,"Adesivo cementizio ad alta deformabilità ed elevata capacità bagnante, per grandi formati, in sovrapposizione, radianti, in facciata, in piscina, e mosaico vetroso. C2TES1",N/A,/images/weber_prodotti/Webercolultragres400adesivocementiziogrigiosaccokg25C2TES1.webp
Webercol smart adesivo cementizio bianco sacco kg 5 C1TE,Weber,"Adesivo cementizio a scivolamento verticale nullo ed elevata scorrevolezza per la posa in interno ed esterno tipo c1te, en 12004:2007+a1:2012",N/A,/images/weber_prodotti/Webercolsmartadesivocementiziobiancosaccokg5C1TE.webp
