name,marca,descrizione,categoria,image_url
Rotore D 5-2.5 FLEX,imer,Rotore D 5-2.5 FLEX,,/images/imer_products/Rotore_D_5-2.5_FLEX.webp
Statore D 7-2.5 NO SPIN con antirotazione,imer,Statore D 7-2.5 NO SPIN con antirotazione,,/images/imer_products/Statore_D_7-2.5_NO_SPIN_con_antirotazione.webp
Rotore D 7-2.5,imer,Rotore D 7-2.5,,/images/imer_products/Rotore_D_7-2.5.webp
Statore D 8-2 NO SPIN con antirotazione,imer,Statore D 8-2 NO SPIN con antirotazione,,/images/imer_products/Statore_D_8-2_NO_SPIN_con_antirotazione.webp
Rotore D8 - 2,imer,Rotore D8 - 2,,/images/imer_products/Rotore_D8_-_2.webp
Rotore D8-2 Flex,imer,Rotore D8-2 Flex,,/images/imer_products/Rotore_D8-2_Flex.webp
Statore D 8-1.5 CLAMP,imer,Statore D 8-1.5 CLAMP,,/images/imer_products/Statore_D_8-1.5_CLAMP.webp
Rotore D 8-1.5 MONO,imer,Rotore D 8-1.5 MONO,,/images/imer_products/Rotore_D_8-1.5_MONO_139.webp
Rotore D 8-1.5 con perno,imer,Rotore D 8-1.5 con perno,,/images/imer_products/Rotore_D_8-1.5_con_perno.webp
Statore D 4-1/2 CLAMP,imer,Statore D 4-1/2 CLAMP,,/images/imer_products/Statore_D_4-1_2_CLAMP.webp
Rotore per fughe D 4-1/2 GIALLO LIMONE,imer,Rotore per fughe D 4-1/2 GIALLO LIMONE,,/images/imer_products/Rotore_per_fughe_D_4-1_2_GIALLO_LIMONE.webp
Statore D 5-2.5 MONO CLAMP,imer,Statore D 5-2.5 MONO CLAMP,,/images/imer_products/Statore_D_5-2.5_MONO_CLAMP.webp
Rotore D 5-2.5 MONOFLEX,imer,Rotore D 5-2.5 MONOFLEX,,/images/imer_products/Rotore_D_5-2.5_MONOFLEX.webp
Statore D 5-2.5 MONO CLAMP,imer,Statore D 5-2.5 MONO CLAMP,,/images/imer_products/Statore_D_5-2.5_MONO_CLAMP.webp
Rotore D 5-2.5 MONO,imer,Rotore D 5-2.5 MONO,,/images/imer_products/Rotore_D_5-2.5_MONO.webp
Rotore MONO con perno,imer,Rotore MONO con perno,,/images/imer_products/Rotore_MONO_con_perno.webp
Statore D 8-1.5 MONO CLAMP,imer,Statore D 8-1.5 MONO CLAMP,,/images/imer_products/Statore_D_8-1.5_MONO_CLAMP.webp
Rotore D 8-1.5 MONO,imer,Rotore D 8-1.5 MONO,,/images/imer_products/Rotore_D_8-1.5_MONO_139.webp
Rotore D 8-1.5 con perno GIALLO,imer,Rotore D 8-1.5 con perno GIALLO,,/images/imer_products/Rotore_D_8-1.5_con_perno_GIALLO.webp
Statore per fughe D 4-1/2 CLAMP,imer,Statore per fughe D 4-1/2 CLAMP,,/images/imer_products/Statore_per_fughe_D_4-1_2_CLAMP.webp
Rotore D 4-1/2,imer,Rotore D 4-1/2,,/images/imer_products/Rotore_D_4-1_2.webp
Statore R8 - 1.5,imer,Statore R8 - 1.5,,/images/imer_products/Statore_R8_-_1.5.webp
"Rotore R8-1,5 con perno",imer,"Rotore R8-1,5 con perno",,"/images/imer_products/Rotore_R8-1,5_con_perno.webp"
Statore R7 - 1.5,imer,Statore R7 - 1.5,,/images/imer_products/Statore_R7_-_1.5.webp
"Rotore R7-1,5 con perno",imer,"Rotore R7-1,5 con perno",,"/images/imer_products/Rotore_R7-1,5_con_perno.webp"
Statore R7 - 2.5,imer,Statore R7 - 2.5,,/images/imer_products/Statore_R7_-_2.5.webp
