name,brand,description,image_url
SAITAC-RL 4S-D,SAIT,"Carta con corindone e additivo anti-intasante, doppia resina, supporto D - al lattice -cosparsione aperta.Per lavorazioni meccaniche a secco.
- Basso intasamento.- Elevata flessibilità.",/images/sait_prodotti/SAITAC-RL4S-D.webp
SAITDIAM-EB UN,SAIT,"Disco con denti diamantati realizzati con tecnologia brevettata, speciali per il taglio universale di tutti i materiali ceramici e lapidei (sezioni non impegnative).Prodotto idoneo per lavorazioni non intensive.",/images/sait_prodotti/SAITDIAM-EBUN.webp
SAITVEL-TP,SAIT,Tampone autoaggrappante per dischi Ø 150 mm.,/images/sait_prodotti/SAITVEL-TP.webp
PLANET-TWO Z,SAIT,"Disco abrasivo lamellare a doppia lamella con supporto in polimero.Tela in zirconio. Impiego universale.
Specifico per metalli ferrosi e non ferrosi.",/images/sait_prodotti/PLANET-TWOZ.webp
SAITPLUS 200,SAIT,"Lucidatrice angolare con impugnatura frontale ergonomica per una presa comoda e sicura.Soft start.Impugnatura laterale montabile sia a destra che a sinistra.Doppia riduzione ad ingranaggi.Regolazione elettronica della velocità.Macchina potente e leggera (peso 1,9 Kg).Motore protetto con resina epossidica.Classe di isolamento: II.
1.100 W/hP230 V / 50/60 HZSHUKO TYPE C(CEE 7/17)",/images/sait_prodotti/SAITPLUS200.webp
SAITLAM-ZK Z,SAIT,"Disco abrasivo lamellare con supporto in polimero.Tela con zirconio.
- Lunga durata.

Consigliato utilizzo con elettroutensili ad elevata potenza.",/images/sait_prodotti/SAITLAM-ZKZ.webp
SAITRIS PAD,SAIT,Platorello in polimero per dischi PREMIUM-SAITRIS.In ogni confezione di 50 pz. vengono inseriti due platorelli completi SAITRIS PAD.,/images/sait_prodotti/SAITRISPAD.webp
SAITPLUS 200,SAIT,"Lucidatrice angolare con impugnatura frontale ergonomica per una presa comoda e sicura.Soft start.Impugnatura laterale montabile sia a destra che a sinistra.Doppia riduzione ad ingranaggi.Regolazione elettronica della velocità.Macchina potente e leggera (peso 1,9 Kg).Motore protetto con resina epossidica.Classe di isolamento: II.
1.100 W/hP230 V / 50/60 HZSHUKO TYPE C(CEE 7/17)",/images/sait_prodotti/SAITPLUS200.webp
SAITLAM-ZK Z,SAIT,"Disco abrasivo lamellare con supporto in polimero.Tela con zirconio.
- Lunga durata.

Consigliato utilizzo con elettroutensili ad elevata potenza.",/images/sait_prodotti/SAITLAM-ZKZ.webp
SAITAC-RL A-D,SAIT,"Carta con corindone, doppia resina, supporto D, cosparsione spaziata.Per lavorazioni manuali e con macchine orbitali.
- Utilizzo a secco.- Buona flessibilità.",/images/sait_prodotti/SAITAC-RLA-D.webp
SAITLAM-SP 3A,SAIT,"Disco abrasivo lamellare con supporto in polimero.Tela con corindone e additivo raffreddante.
- Basso riscaldamento ed elevata finitura.",/images/sait_prodotti/SAITLAM-SP3A.webp
SAITDIAM-LA AS LASER,SAIT,Disco professionale a segmenti saldati laser di livello PREMIUM per taglio ad umido dell’asfalto.Disco dotato di segmento antiusura dell’anima (protezione) e di foro di trascinamento.,/images/sait_prodotti/SAITDIAM-LAASLASER.webp
R/F RULLO,SAIT,"Portamanicotto ad espansione dinamica, cilindrico, con foro.",/images/sait_prodotti/RFRULLO.webp
SAITLAM-SP Z,SAIT,"Disco abrasivo lamellare con supporto in polimero.Tela con zirconio.
- Lunga durata.
Consigliato utilizzo con elettroutensili ad elevata potenza.",/images/sait_prodotti/SAITLAM-SPZ.webp
SAITAC-RL A-E,SAIT,"Carta antistatica con corindone, doppia resina, supporto E, cosparsione aperta.Per lavorazioni manuali e meccaniche.",/images/sait_prodotti/SAITAC-RLA-E.webp
SAITDIAM-LA GC LASER,SAIT,Disco professionale a segmenti saldati laser di livello PREMIUM per taglio ad umido di giunti nel cemento.Disco dotato di segmento antiusura dell’anima (protezione) e di foro di trascinamento.,/images/sait_prodotti/SAITDIAM-LAGCLASER.webp
R/G RULLO,SAIT,"Portamanicotto ad espansione dinamica, cilindrico, su gambo.",/images/sait_prodotti/RGRULLO.webp
SAITMASTER,SAIT,"Levigatrice rotorbitale palmare pneumatica con aspirazione
SAITMASTER 3 150x3 PNIndicata per lavori di finitura da effettuare con grane abrasive tra 320 e 3000.L’orbita ridotta produce un risultato qualitativo molto elevato, facilitando e migliorando le successive fasi di verniciatura.Pressione d’esercizio: 6,2 bar/90 PSI.Peso: 0,8 Kg.
SAITMASTER 6 150x6 PNIndicata per ottenere la massima efficacia nella spianatura degli stucchi e nella rimozione degli strati di vernice.Fino al 20% più efficace di un utensile con orbita 5 mm. La gamma grane abrasive più indicata è compresa tra 80 e 320.Pressione d’esercizio: 6,2 bar/90 PSI.Peso: 0,8 Kg.",/images/sait_prodotti/SAITMASTER.webp
SAITDIAM-LA GT LASER,SAIT,"Disco professionale a segmenti turbo saldati laser di livello TOP per il taglio aggressivo e veloce di calcestruzzo con armatura intensa, graniti e pietre molto dure.
- Eccellenti prestazioni.- Lunga durata.",/images/sait_prodotti/SAITDIAM-LAGTLASER.webp
FOAM D-VEL C,SAIT,"Tessuto su spugna autoaggrappante (spessore 5 mm) con carburo di silicio.Finitura costante, perfetta e di alta qualità, asportazione leggera e veloce, carteggiatura rapida, lunga durata.Adatto a lavorazioni di superfici profilate quali bordi rotondi, linee di contorno, forme concave e convesse.
- Utilizzo ad umido (consigliato) e/o a secco.",/images/sait_prodotti/FOAMD-VELC.webp
GUANTO DECONTAMINANTE,SAIT,"Rimuove velocemente fumi di verniciatura, resina d’alberi, polvere e ruggine di ferrovia, polvere di freni, contaminazioni industriali, insetti, etc.Eccellente risultato quando utilizzato con spray detergente decontaminante SAITLAB PASL 60 SC.",/images/sait_prodotti/GUANTODECONTAMINANTE.webp
VORTEX L,SAIT,"Aspiratore professionale con possibilità di connettere un utensile elettrico (potenza massima 2400 W) o due utensili pneumatici.Peso 13,5 Kg.
IN DOTAZIONE:- 1 manichetta di aspirazione 5 mt.- 1 raccordo di aspirazione frontale- 1 terminale in gomma conregolatore d’aria- 1 raccordo a 2 vie- 2 filtri in poliestere- 1 sacco filtrante in tessuto non tessuto- 2 ruote anteriori- 1 cavo di alimentazione
1200 W230 V / 50/60 HZSHUKO TYPE E+F(CEE 7/17)",/images/sait_prodotti/VORTEXL.webp
SAITAC-RL AE-D,SAIT,"Carta con corindone, doppia resina, supporto D, cosparsione aperta.Per lavorazioni manuali e meccaniche.",/images/sait_prodotti/SAITAC-RLAE-D.webp
SAITLAM-PN Z,SAIT,"Disco abrasivo lamellare con supporto in polimero.Tela con zirconio.
- Lunga durata.",/images/sait_prodotti/SAITLAM-PNZ.webp
SAITLAM-SL C,SAIT,Disco abrasivo lamellare a doppia lamella con supporto in polimero.Tela con carburo di silicio.,/images/sait_prodotti/SAITLAM-SLC.webp
SAITDIAM-LA LP LASER,SAIT,"Disco professionale a segmenti saldati laser di livello PREMIUM peril taglio di graniti, porfido, pietre dure e calcestruzzo con armatura leggera.
- Lunga durata.",/images/sait_prodotti/SAITDIAM-LALPLASER.webp
L14-11 125,SAIT,"Smerigliatrice angolare 1400 watt - Ø mola/disco 115-125 mm
Caratteristiche
• Microprocessore per l'avvio progressivo della macchina, blocco contro le partenze dopo l'interruzione della corrente, controllo delle temperature, elettronica con stabilizzazione del numero di giri.• Motore ad alto rendimento per elevate prestazioni.• Maggiore durata grazie al raffreddamento ottimizzato ed alla nuova tipologia dei carboncini.• Ottima protezione antipolvere di motore e ingranaggi.• Anti-Kickback, disinserisce il motore in caso di blocco del disco.• Cuffia di protezione regolabile senza chiavi.• Interruttore scorrevole con arresto.• Arresto dell’albero porta accessorio.• Impugnatura SoftVib con chiave brevettata per dado di serraggio integrata ed elemento antivibrante",/images/sait_prodotti/L14-11125.webp
SAITAC D-VEL 4V,SAIT,"Carta con corindone e additivo anti-intasante, doppia resina, supporto C - al lattice - cosparsione aperta.Lavorazioni a secco con macchine rotorbitali.
- Basso intasamento.- Finitura accurata.",/images/sait_prodotti/SAITACD-VEL4V.webp
SAITAC-RL AO-F,SAIT,"Carta antistatica con corindone, doppia resina, supporto F, cosparsione spaziata.Per lavorazioni meccaniche.",/images/sait_prodotti/SAITAC-RLAO-F.webp
SAITLAM-SL Z,SAIT,"Disco abrasivo lamellare a doppia lamella con supporto in polimero.Tela con zirconio.
- Lunga durata.",/images/sait_prodotti/SAITLAM-SLZ.webp
FOAM D-VEL  A,SAIT,"Tessuto su spugna autoaggrappante (spessore 5 mm) con corindone.Finitura costante, perfetta e di alta qualità, asportazione leggera e veloce, carteggiatura rapida, lunga durata.Adatto a lavorazioni di superfici profilate quali bordi rotondi, linee di contorno, forme concave e convesse.
- Utilizzo ad umido (consigliato) e/o a secco.",/images/sait_prodotti/FOAMD-VELA.webp
SAITDIAM-LA LS LASER,SAIT,Disco professionale a segmenti saldati laser per il taglio di scanalature su materiali da costruzione.,/images/sait_prodotti/SAITDIAM-LALSLASER.webp
