name,brand,description,image_url
KIT dinamico per FAZ II Plus,Fischer,"Con il Dynamic Set, FAZ II Plus è certificato ETA 20/0897 per azioni dinamiche cicliche di fatica.",/images/fischer_prodotti/KITdinamicoperFAZIIPlus.webp
Percussore FABS,Fischer,Percussore con innesto SDS-Plus,/images/fischer_prodotti/PercussoreFABS.webp
Strumento SC-ST per la posa di connettori da calcestruzzo UltraCut FBS II,Fischer,Strumento per l'installazione di viti da calcestruzzo FBS II US come connettori per il rinforzo di solai e strutture in cemento o latero-cemento tramite soletta collaborante. Assicura il rispetto della certificazione ETA e la corretta altezza del connettore.,/images/fischer_prodotti/StrumentoSC-STperlaposadiconnettoridacalcestruzzoUltraCutFBSII.webp
UltraCut FBS II 6 US viti per calcestruzzo con testa esagonale,Fischer,Viti per calcestruzzo diam. 6 in acciaio zincato per installazioni in zona sismica C1 con profondità di posa variabile. Removibili e regolabili.,/images/fischer_prodotti/UltraCutFBSII6USvitipercalcestruzzocontestaesagonale.webp
UltraCut FBS II 6 SK viti per calcestruzzo con testa svasata piana,Fischer,Viti per calcestruzzo diam. 6 in acciaio zincato per installazioni in zona sismica C1 con profondità di posa variabile. Removibili e regolabili.,/images/fischer_prodotti/UltraCutFBSII6SKvitipercalcestruzzocontestasvasatapiana.webp
UltraCut FBS II 6 P/LP viti per calcestruzzo con testa bombata/bombata larga,Fischer,Viti per calcestruzzo diam. 6 in acciaio zincato per installazioni in zona sismica C1 con profondità di posa variabile. Removibili e regolabili.,/images/fischer_prodotti/UltraCutFBSII6PLPvitipercalcestruzzocontestabombatabombatalarga.webp
UltraCut FBS II 6 M6 I e M8/M10 I viti per calcestruzzo con filettatura interna,Fischer,Viti per calcestruzzo diam. 6 in acciaio zincato per installazioni in zona sismica C1 con profondità di posa variabile. Removibili e regolabili.,/images/fischer_prodotti/UltraCutFBSII6M6IeM8M10Ivitipercalcestruzzoconfilettaturainterna.webp
FFD rondella per applicazioni sismiche C1,Fischer,Rondella per il riempimento del gap anulare fra piastra e fissaggio - per viti per calcestruzzo ∅ 6,/images/fischer_prodotti/FFDrondellaperapplicazionisismicheC1.webp
UltraCut FBS II 6 M8/19 e M10/21 e M8/M10 viti per calcestruzzo con filettatura esterna,Fischer,Viti per calcestruzzo diam. 6 in acciaio zincato per installazioni in zona sismica C1 con profondità di posa variabile. Removibili e regolabili.,/images/fischer_prodotti/UltraCutFBSII6M819eM1021eM8M10vitipercalcestruzzoconfilettaturaesterna.webp
UltraCut FBS II 8-14 US viti in acciaio zincato con testa esagonale e rosetta integrata,Fischer,"Viti per calcestruzzo ad alte prestazioni in acciaio zincato, certificate per installazioni in zona sismica C2 e come connettore a taglio per il rinforzo di solai e strutture in cemento e latero-cemento.",/images/fischer_prodotti/UltraCutFBSII8-14USvitiinacciaiozincatocontestaesagonaleerosettaintegrata.webp
UltraCut FBS II 8-10 SK viti in acciaio zincato per calcestruzzo con testa svasata piana,Fischer,"Viti per calcestruzzo ad alte prestazioni in acciaio zincato per installazioni in zona sismica C1 rapide da installare, regolabili, removibili e riutilizzabili.",/images/fischer_prodotti/UltraCutFBSII8-10SKvitiinacciaiozincatopercalcestruzzocontestasvasatapiana.webp
UltraCut FBS II 8-12 US R viti in acciaio inox con testa esagonale e rosetta integrata,Fischer,"Viti per calcestruzzo ad alte prestazioni in acciaio inossidabile per installazioni in zona sismica C2 rapide da installare, regolabili e removibili.",/images/fischer_prodotti/UltraCutFBSII8-12USRvitiinacciaioinoxcontestaesagonaleerosettaintegrata.webp
UltraCut FBS II 8-10 SK R viti in acciaio inox per calcestruzzo con testa svasata piana,Fischer,"Viti per calcestruzzo ad alte prestazioni in acciaio inossidabile per installazioni in zona sismica C1 rapide da installare, regolabili e removibili.",/images/fischer_prodotti/UltraCutFBSII8-10SKRvitiinacciaioinoxpercalcestruzzocontestasvasatapiana.webp
FUP cilindro di controllo,Fischer,Verifica l'usura del diametro esterno della filettatura delle viti UltraCut FBS II,/images/fischer_prodotti/FUPcilindrodicontrollo.webp
FFD rondella per applicazioni sismiche C2,Fischer,Rondella in acciaio inossidabile per il riempimento del gap anulare fra piastra e fissaggio,/images/fischer_prodotti/FFDrondellaperapplicazionisismicheC2.webp
fischer Rosetta,Fischer,Rosetta per viti per calcestruzzo.,/images/fischer_prodotti/fischerRosetta.webp
Ancorante ad alte prestazioni FH II-H,Fischer,Ancorante a battere passante dal design esigente con dado cieco ad altissime prestazioni a taglio per calcestruzzo fessurato e applicazioni sismiche C1 e C2.,/images/fischer_prodotti/AncoranteadalteprestazioniFHII-H.webp
Ancorante ad alte prestazioni FH II-S,Fischer,Ancorante a battere passante con vite a testa esagonale ad altissime prestazioni a taglio per calcestruzzo fessurato e applicazioni sismiche C1 e C2.,/images/fischer_prodotti/AncoranteadalteprestazioniFHII-S.webp
Ancorante ad alte prestazioni FH II-SK,Fischer,Ancorante a battere passante dal design esigente con testa svasata piana ad altissime prestazioni a taglio per calcestruzzo fessurato e applicazioni sismiche C1 e C2.,/images/fischer_prodotti/AncoranteadalteprestazioniFHII-SK.webp
Ancorante ad alte prestazioni FH II-B,Fischer,Ancorante a battere passante con barra filettata e dado ad altissime prestazioni a taglio per calcestruzzo fessurato e applicazioni sismiche C1 e C2.,/images/fischer_prodotti/AncoranteadalteprestazioniFHII-B.webp
Ancorante ad alte prestazioni FH II-I,Fischer,L'ingegnoso ancorante filettato internamente con una semplice installazione in calcestruzzo fessurato,/images/fischer_prodotti/AncoranteadalteprestazioniFHII-I.webp
Ancorante ad alte prestazioni FH II-I inox A4,Fischer,L'ingegnoso ancorante filettato internamente con una semplice installazione in calcestruzzo fessurato. Versione in acciaio inox A4.,/images/fischer_prodotti/AncoranteadalteprestazioniFHII-IinoxA4.webp
Ancorante ad alte prestazioni FH II-S inox A4,Fischer,L'ancorante passante per fissaggi dal design esigente per calcestruzzo fessurato e applicazioni sismiche in zona C1/C2. Con testa esagonale e in acciaio inox A4.,/images/fischer_prodotti/AncoranteadalteprestazioniFHII-SinoxA4.webp
Ancorante ad alte prestazioni FH II-SK inox A4,Fischer,L'ancorante passante per fissaggi dal design esigente per calcestruzzo fessurato e applicazioni sismiche in zona C1/C2. Con testa svasata piana e in acciaio inox A4.,/images/fischer_prodotti/AncoranteadalteprestazioniFHII-SKinoxA4.webp
Ancorante sottosquadro ZYKON FZA,Fischer,Il sistema di fissaggio con la più elevata sicurezza in calcestruzzo fessurato. Versione con barra filettata.,/images/fischer_prodotti/AncorantesottosquadroZYKONFZA.webp
Ancorante sottosquadro ZYKON FZA inox A4,Fischer,Il sistema di fissaggio con la più elevata sicurezza in calcestruzzo fessurato. Versione in acciaio inox A4 con barra filettata.,/images/fischer_prodotti/AncorantesottosquadroZYKONFZAinoxA4.webp
Ancorante sottosquadro ZYKON FZA-I,Fischer,Il sistema di fissaggio con la più elevata sicurezza in calcestruzzo fessurato. Versione femmina.,/images/fischer_prodotti/AncorantesottosquadroZYKONFZA-I.webp
Ancorante sottosquadro ZYKON FZA-I inox A4,Fischer,Il sistema di fissaggio con la più elevata sicurezza in calcestruzzo fessurato. Versione femmina in acciaio inox A4.,/images/fischer_prodotti/AncorantesottosquadroZYKONFZA-IinoxA4.webp
Percussore FZE Plus,Fischer,,/images/fischer_prodotti/PercussoreFZEPlus.webp
Punta FZUB,Fischer,,/images/fischer_prodotti/PuntaFZUB.webp
Ancorante a percussione ZYKON FZEA II,Fischer,L'ancorante filettato internamente con ridotta profondità di ancoraggio per fissaggi singoli in calcestruzzo fessurato,/images/fischer_prodotti/AncoranteapercussioneZYKONFZEAII.webp
Ancorante a percussione ZYKON FZEA II inox A4,Fischer,L'ancorante filettato internamente con ridotta profondità di ancoraggio per fissaggi singoli in calcestruzzo fessurato. Versione in acciaio inox A4.,/images/fischer_prodotti/AncoranteapercussioneZYKONFZEAIIinoxA4.webp
Ancorante a percussione ZYKON FZEA II C,Fischer,L'ancorante filettato internamente con ridotta profondità di ancoraggio per fissaggi singoli in calcestruzzo fessurato. Versione in acciaio speciale resistente alla corrosione C 1.4529.,/images/fischer_prodotti/AncoranteapercussioneZYKONFZEAIIC.webp
Percussore FZED Plus,Fischer,,/images/fischer_prodotti/PercussoreFZEDPlus.webp
FBN II Ancorante a battere in acciaio zincato con fascetta espandente,Fischer,Tassello passante a battere ad alte prestazioni per carichi statici su calcestruzzo non fessurato. Versatile e facile da installare,/images/fischer_prodotti/FBNIIAncoranteabattereinacciaiozincatoconfascettaespandente.webp
FBN II HDG Ancorante a battere ad espansione in acciaio zincato a caldo,Fischer,"Tassello passante ad alte prestazioni per calcestruzzo non fessurato, con vita utile in esercizio all’esterno variabile certificata fino a 50 anni, corpo in acciaio zincato e fascetta in acciaio inossidabile..",/images/fischer_prodotti/FBNIIHDGAncoranteabattereadespansioneinacciaiozincatoacaldo.webp
FBN II R Ancorante a battere in acciaio inossidabile con fascetta espandente,Fischer,Tassello passante a battere ad alte prestazioni per carichi statici su calcestruzzo non fessurato. Versione in acciaio inossidabile con classe di resistenza alla corrosione CRC III.,/images/fischer_prodotti/FBNIIRAncoranteabattereinacciaioinossidabileconfascettaespandente.webp
FBN II K Ancorante a battere in acciaio zincato con fascetta espandente versione corta,Fischer,Tassello passante a battere in versione corta per calcestruzzo non fessurato. Rapido da installare.,/images/fischer_prodotti/FBNIIKAncoranteabattereinacciaiozincatoconfascettaespandenteversionecorta.webp
Ancorante a battere ad espansione in acciaio zincato FBN II K HDG,Fischer,"Tassello passante in versione corta per calcestruzzo non fessurato con vita utile in esercizio all’esterno variabile certificata fino a 50 anni, corpo in acciaio zincato e fascetta in acciaio inossidabile. Rapido da installare.",/images/fischer_prodotti/AncoranteabattereadespansioneinacciaiozincatoFBNIIKHDG.webp
FBN II GS Ancorante a battere in acciaio zincato con fascetta espandente in versione lunga,Fischer,Tassello passante ad alte prestazioni per calcestruzzo non fessurato. Versione con rosetta maggiorata ed elevati spessori fissabili.,/images/fischer_prodotti/FBNIIGSAncoranteabattereinacciaiozincatoconfascettaespandenteinversionelunga.webp
Ancorante a percussione EA II,Fischer,L'ancorante a percussione filettato internamente con collarino per una semplice installazione,/images/fischer_prodotti/AncoranteapercussioneEAII.webp
Ancorante a percussione EA II inox A4,Fischer,L'ancorante a percussione filettato internamente con collarino per una semplice installazione. Versione in acciaio inox A4.,/images/fischer_prodotti/AncoranteapercussioneEAIIinoxA4.webp
Ancorante a percussione EA II per carotatrici,Fischer,L'ancorante a percussione filettato internamente con collarino per una semplice installazione,/images/fischer_prodotti/AncoranteapercussioneEAIIpercarotatrici.webp
Percussore per installazione con trapano a percussione EMS,Fischer,,/images/fischer_prodotti/PercussoreperinstallazionecontrapanoapercussioneEMS.webp
Percussore manuale EHS Plus con impugnatura di protezione e punzonatore,Fischer,,/images/fischer_prodotti/PercussoremanualeEHSPlusconimpugnaturadiprotezioneepunzonatore.webp
Ancorante con corpo espandente TA M,Fischer,"L'ancorante filettato internamente, facile da installare, per fissaggi in calcestruzzo non fessurato",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM.webp
Ancorante con corpo espandente TA M-S,Fischer,"L'ancorante filettato internamente, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione con vite T.E. classe 8.8.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM-S.webp
Ancorante con corpo espandente TA M-B,Fischer,"L'ancorante filettato internamente, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione con barra filettata cl. 5.8.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM-B.webp
Ancorante con corpo espandente TA M-O,Fischer,"L'ancorante filettato internamente, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione con occhiolo cl. 8.8.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM-O.webp
Ancorante con corpo espandente TA M-G,Fischer,"L'ancorante filettato internamente, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione con gancio stampato.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM-G.webp
Ancorante con corpo espandente TA M inox A2,Fischer,"L'ancorante filettato internamente, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione in acciaio inox.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAMinoxA2.webp
Ancorante con corpo espandente TA M inox A2 T.E.,Fischer,"L'ancorante filettato internamente, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione in acciaio inox con vite T.E.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAMinoxA2TE.webp
Ancorante con corpo espandente TA M-H,Fischer,"L'ancorante passante, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione con dado cieco.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM-H.webp
Ancorante con corpo espandente TA M-SK,Fischer,"L'ancorante passante, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione con testa svasata piana.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM-SK.webp
Ancorante con corpo espandente TA M-T/S,Fischer,"L'ancorante passante, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione con vite testa esagonale cl 8.8.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM-TS.webp
Ancorante con corpo espandente TA M-OD,Fischer,"L'ancorante passante, facile da installare, per fissaggi in calcestruzzo non fessurato. Versione con occhiolo.",/images/fischer_prodotti/AncoranteconcorpoespandenteTAM-OD.webp
Ancorante a chiodo FNA II M,Fischer,L'ancorante a percussione facile da installare per fissaggi multipli. Versione con testa filettata e dado flangiato.,/images/fischer_prodotti/AncoranteachiodoFNAIIM.webp
